Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Founti,2100000,66,3.0,2.0,2.0,Nouveau
Appartement,Founti,3000000,135,3.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1500000,100,3.0,2.0,2.0,Nouveau
Appartement,Founti,3300000,113,6.0,2.0,2.0,Bon état
Appartement,Extension Dakhla,1500000,123,4.0,3.0,1.0,Bon état
Villa,Taddart Anza,1500000,111,6.0,3.0,2.0,Nouveau
Appartement,Hay Houda,880000,88,6.0,3.0,2.0,Bon état
Appartement,Abattoirs,1500000,121,3.0,2.0,2.0,Bon état
Appartement,Founti,2300000,125,4.0,3.0,2.0,Bon état
Appartement,Talborjt,1650000,124,4.0,3.0,2.0,Nouveau
Appartement,Haut Anza,520000,74,1.0,10.0,1.0,Nouveau
Appartement,Hay Mohammadi,350000,50,1.0,1.0,1.0,Bon état
Appartement,Tilila,850000,72,3.0,2.0,2.0,Bon état
Appartement,Zone Industrielle Agadir,560000,65,1.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,840000,88,1.0,2.0,2.0,Bon état
Villa,Hay Massira,1600000,108,7.0,5.0,3.0,Bon état
Appartement,Hay Mohammadi,470000,56,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,760000,67,2.0,2.0,1.0,Nouveau
Appartement,Amicales,1600000,100,3.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,1040000,102,3.0,2.0,2.0,Bon état
Appartement,Hay Salam,390000,60,3.0,3.0,1.0,Nouveau
Appartement,Extension Dakhla,1300000,90,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,720000,82,1.0,3.0,1.0,Nouveau
Appartement,Hay Dakhla,900000,100,3.0,3.0,2.0,Bon état
Appartement,Ben Serguaou,100000,64,6.0,6.0,3.0,Bon état
Villa,Anza,2300000,179,5.0,4.0,2.0,Nouveau
Appartement,Zone Industrielle Agadir,640000,70,4.0,2.0,1.0,Bon état
Appartement,Founti,1900000,70,1.0,2.0,1.0,Bon état
Appartement,Hay Houda,800000,75,2.0,1.0,2.0,Bon état
Appartement,Hay Mohammadi,530000,60,1.0,1.0,2.0,Bon état
Appartement,Ben Serguaou,1000000,119,4.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,960000,101,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,445000,55,3.0,2.0,1.0,Bon état
Villa,Hay Mohammadi,2960000,113,4.0,3.0,2.0,Nouveau
Villa,Riad Salam,2650000,125,8.0,4.0,3.0,Bon état
Appartement,Hay Mohammadi,1700000,124,3.0,2.0,2.0,Bon état
Villa,Hay Salam,1700000,80,2.0,5.0,4.0,Bon état
Appartement,Hay Mohammadi,1250000,156,5.0,3.0,2.0,Nouveau
Appartement,Haut Founty,1130000,78,3.0,2.0,1.0,Nouveau
Appartement,Hay Salam,550000,60,3.0,2.0,1.0,Bon état
Appartement,Abattoirs,1500000,112,4.0,4.0,3.0,Bon état
Appartement,Taddart,1110000,88,3.0,2.0,1.0,Bon état
Villa,Hay Mohammadi,3000000,150,1.0,1.0,1.0,Nouveau
Appartement,Hay Massira,1500000,116,4.0,2.0,2.0,Nouveau
Appartement,Hay Salam,650000,112,5.0,2.0,1.0,À rénover
Villa,Extension Dakhla,3100000,312,9.0,6.0,3.0,Bon état
Appartement,Hay Dakhla,950000,80,3.0,3.0,1.0,Nouveau
Appartement,Hay Houda,930000,81,3.0,3.0,2.0,Bon état
Appartement,Hay Houda,950000,90,1.0,3.0,2.0,Bon état
Appartement,Cité Adrar,600000,66,1.0,2.0,2.0,Nouveau
Appartement,Founti,1550000,107,4.0,3.0,2.0,Bon état
Villa,Hay Mohammadi,2200000,175,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,1350000,105,2.0,2.0,4.0,Bon état
Appartement,Hay Houda,800000,87,4.0,3.0,2.0,Bon état
Villa,Al Wifaq,2000000,120,8.0,5.0,3.0,Bon état
Appartement,Hay Mohammadi,550000,60,3.0,2.0,1.0,Nouveau
Appartement,Cité Adrar,720000,60,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,680000,60,3.0,2.0,1.0,Nouveau
Appartement,Secteur Touristique,1650000,96,3.0,2.0,1.0,Bon état
Villa,Charaf,2300000,160,4.0,3.0,2.0,Bon état
Appartement,Hay Dakhla,770000,76,3.0,2.0,1.0,Bon état
Villa,Hay Dakhla,6000000,660,16.0,8.0,8.0,Bon état
Villa,Hay Mohammadi,6800000,225,1.0,3.0,2.0,Nouveau
Appartement,Zone Industrielle Agadir,1700000,98,1.0,2.0,3.0,Bon état
Appartement,Haut Founty,800000,64,1.0,1.0,1.0,Nouveau
Villa,Charaf,2200000,120,6.0,4.0,2.0,Bon état
Villa,Taddart,792000,200,6.0,4.0,2.0,Bon état
Appartement,Hay Mohammadi,850000,80,3.0,2.0,2.0,Nouveau
Appartement,Ben Serguaou,400000,50,1.0,2.0,1.0,Bon état
Villa,Al Wifaq,3100000,225,2.0,6.0,2.0,Bon état
Appartement,Tilila,850000,78,2.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,1580000,117,4.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,500000,54,1.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,1800000,211,1.0,5.0,3.0,Bon état
Appartement,Hay Salam,530000,70,3.0,2.0,1.0,Bon état
Appartement,Hay Salam,630000,67,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,910000,95,3.0,2.0,2.0,Bon état
Appartement,Secteur Touristique,180000,150,1.0,3.0,2.0,Bon état
Appartement,Hay Salam,520000,60,3.0,3.0,2.0,Bon état
Appartement,Founti,230000,128,1.0,3.0,2.0,Nouveau
Appartement,Hay Dakhla,1300000,140,3.0,2.0,1.0,Bon état
Villa,Hay Najah,6500000,300,9.0,5.0,4.0,Bon état
Appartement,Hay Salam,560000,68,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,640000,62,3.0,2.0,2.0,Bon état
Villa,Tilila,1900000,175,4.0,3.0,3.0,À rénover
Appartement,Hay Mohammadi,700000,70,1.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1000000,70,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,360000,49,3.0,2.0,1.0,Nouveau
Appartement,Hay Houda,920000,88,7.0,3.0,2.0,Bon état
Appartement,Hay Dakhla,360000,71,3.0,2.0,1.0,Bon état
Appartement,Tilila,760000,112,4.0,3.0,2.0,Nouveau
Appartement,Hay Salam,490000,60,3.0,2.0,1.0,Bon état
Appartement,Hay Houda,420000,52,1.0,2.0,1.0,À rénover
Appartement,Hay Houda,120000,118,2.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,600000,60,2.0,1.0,2.0,Bon état
Villa,Tilila,2950000,200,8.0,4.0,4.0,Bon état
Appartement,Ben Serguaou,350000,70,4.0,2.0,1.0,Bon état
Appartement,Tilila,850000,100,4.0,3.0,1.0,Bon état
Appartement,Hay Mohammadi,980000,85,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,1500000,122,3.0,2.0,1.0,Bon état
Villa,Ben Serguaou,4900000,519,5.0,3.0,3.0,Bon état
Appartement,Founti,4450000,150,3.0,2.0,2.0,Bon état
Villa,Hay Dakhla,2800000,200,3.0,12.0,3.0,Bon état
Appartement,Tilila,480000,58,1.0,2.0,1.0,Nouveau
Appartement,Hay Houda,700000,72,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,400000,58,4.0,2.0,1.0,Nouveau
Appartement,Zone Industrielle Agadir,1000000,70,3.0,3.0,1.0,Bon état
Appartement,Hay Mohammadi,500000,54,2.0,2.0,1.0,Nouveau
Appartement,Hay Salam,540000,60,3.0,3.0,2.0,Bon état
Villa,Secteur Touristique,2800000,343,7.0,5.0,2.0,Nouveau
Appartement,Charaf,1500000,110,2.0,2.0,2.0,Nouveau
Appartement,Founti,4500000,240,2.0,3.0,3.0,Nouveau
Appartement,Hay Mohammadi,950000,95,3.0,3.0,2.0,Nouveau
Appartement,Secteur Touristique,2200000,120,4.0,3.0,2.0,Bon état
Appartement,Hay Salam,690000,75,5.0,2.0,1.0,Bon état
Appartement,Abattoirs,480000,80,1.0,1.0,1.0,Nouveau
Appartement,Hay Mohammadi,510000,70,3.0,3.0,1.0,Bon état
Villa,Founti,3000000,160,4.0,3.0,2.0,Bon état
Appartement,Secteur Touristique,4800000,172,4.0,3.0,2.0,Bon état
Villa,Tikiouine,980000,108,9.0,5.0,2.0,Bon état
Appartement,Hay Mohammadi,560000,64,1.0,2.0,1.0,Nouveau
Appartement,Hay Salam,600000,65,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,460000,46,3.0,2.0,1.0,Bon état
Appartement,Haut Anza,450000,110,3.0,2.0,2.0,Nouveau
Appartement,Hay Houda,1000000,117,4.0,2.0,2.0,Bon état
Appartement,Hay Salam,700000,78,3.0,3.0,1.0,Bon état
Villa,Taddart Anza,1450000,110,4.0,4.0,5.0,Nouveau
Villa,Illigh,6500000,268,12.0,5.0,4.0,Nouveau
Villa,Talborjt,3000000,126,1.0,6.0,3.0,Bon état
Villa,Tilila,2600000,130,5.0,4.0,3.0,Bon état
Appartement,Abattoirs,1380000,97,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,900000,114,4.0,2.0,1.0,Bon état
Appartement,Talborjt,800000,75,3.0,2.0,1.0,Bon état
Appartement,Hay Najah,1350000,99,1.0,2.0,2.0,Bon état
Villa,Ben Serguaou,1000000,47,1.0,2.0,1.0,Bon état
Appartement,Extension Dakhla,580000,64,1.0,1.0,3.0,Nouveau
Villa,Cité Adrar,900000,64,3.0,3.0,1.0,Nouveau
Villa,Hay Salam,1700000,100,3.0,3.0,1.0,Nouveau
Appartement,Hay Houda,1550000,131,5.0,3.0,2.0,Bon état
Appartement,Hay Salam,640000,66,6.0,2.0,1.0,À rénover
Appartement,Abattoirs,1070000,100,4.0,4.0,2.0,Nouveau
Appartement,Hay Mohammadi,680000,65,3.0,3.0,2.0,Bon état
Appartement,Haut Founty,1200000,78,3.0,2.0,1.0,Nouveau
Villa,Secteur Touristique,2100000,144,9.0,7.0,3.0,À rénover
Appartement,Tilila,520000,58,3.0,2.0,2.0,Bon état
Appartement,Cité Adrar,790000,62,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,1100000,118,1.0,2.0,2.0,Nouveau
Villa,Tilila,4800000,400,12.0,6.0,3.0,Bon état
Villa,Cité Adrar,2800000,127,3.0,3.0,2.0,Bon état
Appartement,Hay Dakhla,1675000,134,5.0,4.0,2.0,Bon état
Appartement,Secteur Touristique,1000000,71,2.0,2.0,1.0,Nouveau
Villa,Founti,7600000,324,5.0,5.0,4.0,Nouveau
Villa,Anza,2000000,80,4.0,6.0,3.0,Bon état
Appartement,Tilila,600000,72,2.0,1.0,2.0,Bon état
Appartement,Hay Mohammadi,928600,94,5.0,2.0,1.0,Bon état
Appartement,Al Wifaq,660000,61,3.0,2.0,1.0,Nouveau
Appartement,Hay Salam,450000,52,3.0,2.0,2.0,Bon état
Appartement,Ville Nouvelle,450000,69,3.0,2.0,1.0,Nouveau
Villa,Hay Mohammadi,1450000,64,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,950000,114,4.0,4.0,2.0,Nouveau
Appartement,Hay Mohammadi,530000,62,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,510000,60,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,350000,54,2.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,420000,54,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,310000,54,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,1300000,135,4.0,3.0,2.0,Bon état
Appartement,Haut Founty,980000,86,1.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,660000,62,3.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,580000,55,3.0,2.0,1.0,Bon état
Appartement,Hay Houda,800000,82,4.0,3.0,1.0,Bon état
Villa,Hay Mohammadi,3200000,108,2.0,6.0,3.0,Nouveau
Villa,Abattoirs,751600,66,1.0,1.0,1.0,À rénover
Appartement,Hay Mohammadi,490000,75,3.0,2.0,1.0,Bon état
Villa,Ben Serguaou,270000,160,5.0,3.0,2.0,Bon état
Appartement,Hay Salam,650000,64,1.0,2.0,1.0,Bon état
Appartement,Hay Dakhla,1050900,113,3.0,2.0,2.0,Bon état
Villa,Hay Houda,7500000,330,8.0,5.0,3.0,Nouveau
Appartement,Hay Houda,380000,56,1.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,1390000,122,5.0,2.0,2.0,Bon état
Appartement,Hay Salam,650000,65,2.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,610000,62,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,720000,96,3.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,900000,90,4.0,3.0,2.0,Nouveau
Appartement,Al Wifaq,450000,58,1.0,2.0,1.0,Nouveau
Appartement,Al Wifaq,470000,60,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,700000,65,3.0,2.0,2.0,Bon état
Villa,Taddart,3500000,200,3.0,3.0,4.0,Bon état
Appartement,Hay Mohammadi,1300000,85,3.0,2.0,2.0,Bon état
Appartement,Abattoirs,1250000,91,3.0,2.0,2.0,Bon état
Appartement,Taddart Anza,330000,55,1.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,435000,55,7.0,3.0,1.0,Bon état
Villa,Riad Salam,1800000,170,3.0,3.0,2.0,Bon état
Villa,Hay Massira,1700000,90,5.0,3.0,3.0,Bon état
Villa,Riad Salam,3400000,159,5.0,5.0,3.0,Bon état
Appartement,Tilila,1300000,151,7.0,4.0,2.0,Bon état
Appartement,Hay Salam,750000,100,4.0,2.0,2.0,Bon état
Appartement,Riad Salam,1450000,112,4.0,3.0,2.0,Bon état
Appartement,Hay Houda,1230000,98,4.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,580000,55,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,1200000,109,1.0,3.0,2.0,Nouveau
Appartement,Hay Salam,730000,74,3.0,2.0,1.0,Bon état
Villa,Al Wifaq,1950000,350,10.0,6.0,4.0,Bon état
Appartement,Riad Salam,960000,120,3.0,3.0,2.0,Bon état
Villa,Haut Founty,3900000,240,8.0,5.0,4.0,Bon état
Appartement,Port,2000000,75,2.0,1.0,2.0,Bon état
Appartement,Founti,1800000,93,3.0,2.0,2.0,Bon état
Villa,Tikiouine,800000,50,4.0,4.0,4.0,Bon état
Villa,Cité Adrar,1650000,81,5.0,5.0,5.0,Nouveau
Appartement,Hay Salam,650000,62,3.0,2.0,1.0,Nouveau
Appartement,Hay Najah,2150000,147,5.0,3.0,3.0,Bon état
Villa,Hay Mohammadi,3100000,128,6.0,3.0,3.0,Bon état
Appartement,Hay Salam,900000,110,5.0,4.0,2.0,Bon état
Appartement,Hay Mohammadi,2000000,191,2.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,520000,75,3.0,2.0,1.0,Bon état
Appartement,Tilila,650000,73,2.0,1.0,2.0,Bon état
Appartement,Hay Salam,36500,50,2.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,880000,80,3.0,2.0,2.0,Nouveau
Appartement,Ville Nouvelle,1850000,107,2.0,2.0,2.0,Bon état
Appartement,Hay Dakhla,900000,96,1.0,2.0,1.0,Bon état
Appartement,Extension Dakhla,480000,68,2.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,490000,58,4.0,2.0,1.0,Bon état
Appartement,Hay Salam,340000,55,2.0,1.0,1.0,Bon état
Appartement,Anza,1300000,88,4.0,2.0,2.0,Bon état
Appartement,Abattoirs,1250000,93,6.0,2.0,2.0,Nouveau
Appartement,Amicales,1150000,126,4.0,3.0,2.0,Bon état
Villa,Hay Dakhla,3400000,260,18.0,9.0,5.0,Bon état
Villa,Tikiouine,460000,70,2.0,3.0,1.0,Nouveau
Appartement,Al Wifaq,480000,58,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,920000,97,3.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,630000,64,5.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,1040000,102,3.0,2.0,2.0,Bon état
Villa,Ben Serguaou,5500000,500,10.0,4.0,4.0,Nouveau
Villa,Amicales,2600000,85,10.0,10.0,5.0,Nouveau
Villa,Abattoirs,225000,209,10.0,6.0,5.0,Nouveau
Appartement,Hay Mohammadi,600000,64,3.0,3.0,2.0,Bon état
Appartement,Hay Massira,920000,86,1.0,2.0,2.0,Bon état
Appartement,Anza,900000,73,4.0,2.0,2.0,Nouveau
Villa,Hay Najah,4000000,300,6.0,4.0,3.0,Nouveau
Appartement,Cité Adrar,450000,45,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,630000,64,3.0,2.0,2.0,Nouveau
Villa,Hay Dakhla,2600000,222,6.0,4.0,2.0,Bon état
Villa,Zone Industrielle Agadir,1800000,120,3.0,2.0,2.0,Bon état
Appartement,Hay Houda,1150000,123,3.0,2.0,2.0,Nouveau
Villa,Illigh,1800000,600,10.0,7.0,6.0,Bon état
